Country,pcode,gis_name,name_alt,name_fr,name_sp,loc_type,address_1,address_2,address_3,address_4,city,ds_code,x,y
Ethiopia,ETHp000697,Shire,,Shire,,UNHCR Sub-Office,,,,,Shire,ETHSH,4262265.5999,1586294.3781999983
Ethiopia,ETHp000136,Gambella,,Gambella,,UNHCR Sub-Office,c/o UNHCR Representation in Ethiopia,P.O. Box 60,Addis Ababa,,Gambela,ETHGA,3850570.2408999987,920357.4283999987
Ethiopia,ETHp000138,Jijiga,,Jijiga,,UNHCR Sub-Office,Gerbassaa Road,,,,Jijiga,ETHJI,4766255.3178,1045036.6187000014
Ethiopia,ETHp000756,Aw Barre,Teferiber,Aw Barre,Aw Barre,UNHCR Field Unit,,,,,Tefferi-Ber,ETHTE,4810560.475099999,1094030.2382999994
Ethiopia,ETHp000134,Addis Ababa,Addis Ababa,Addis-Abeba,,UNHCR Country Office,"Bole Road, Wereda 1",Kebele 23,House No. 1255/01-02,,Addis Ababa,ETHAD,4317337.2073,1005208.4525999986
Ethiopia,ETHp000757,Kebribeyah,,Kebribeyah,,UNHCR Field Unit,,,,,,ETHKE,4806330.3345,1017293.3368000016
Ethiopia,ETHp000135,Assosa,Asosa,Assosa,,UNHCR Sub-Office,P.O. Box 111,Addis Ababa,,,Asosa,ETHAO,3845420.4899999984,1125932.8423999995
Ethiopia,ETHp000472,Shiraro,,Shiraro,,UNHCR Field Unit,,,,,,ETHSR,4204748.6743,1619395.0797000006
Ethiopia,ETHp004106,Embamadre,,Embamadre,,UNHCR Field Office,,,,,,ETHEB,4249550.749499999,1539187.5788000003
Ethiopia,ETHp000661,Pugnido,,Fugnido,,UNHCR Field Office,,,,,,ETHFU,3813162.3279,853842.5119000003
Ethiopia,ETHp000759,Sherkole,,Sherkole,,UNHCR Field Office,,,,,,ETHSK,3853880.771299999,1160737.7018
Ethiopia,ETHp000662,Dimma,,Dimma,,UNHCR Field Office,,,,,,ETHDM,3916664.9640999995,725469.9052000009
Ethiopia,ETHp004105,Samara,,Samara,,UNHCR Field Office,,,,,,ETHSA,4565100.997900002,1322070.9921999983
Ethiopia,ETHp000804,UNHCR Rep. to AU & ECA,Addis Ababa UNHCR Representation to AU & ECA,Addis-Abeba Bureau Régional de liaison (AU & ECA),,UNHCR Regional Office,,,,,,ETHADRAU,4311231.024,1005828.5218999982
Ethiopia,ETHp030017,Aysaita,,,,UNHCR Field Unit,,,,,,ETHAS,4612077.823100001,1297378.3209999986
Ethiopia,ETHp030020,Bahir Dar,,Bahir Dar,Bahir Dar,UNHCR Field Unit,,,,,Bahir Dar,ETHBH,4162016.9464999996,1298831.7325000018
Ethiopia,ETHp030031,Dire Dawa,,Dire Dawa,Dire Dawa,UNHCR Field Unit,,,,,Dire Dawa,ETHDI,4660512.699000001,1072950.8649999984
Ethiopia,ETHp030030,Maichew,,Maichew,Maichew,UNHCR Field Unit,,,,,Maichew,ETHMC,4401690.1197,1435424.0174000002
Ethiopia,ETHp030029,Axum,,Axum,Axum,UNHCR Field Unit,,,,,Axum,ETHAX,4310990.053100001,1588381.7120000012
Ethiopia,ETHp030028,Aby adi,,Aby adi,Aby adi,UNHCR Field Unit,,,,,Aby adi,ETHAB,4340240.6526999995,1531620.3680999987
Ethiopia,ETHp030027,Adigrat,,Adigrat,Adigrat,UNHCR Field Unit,,,,,Adigrat,ETHAI,4392736.352000002,1606149.0425000004
Ethiopia,ETHp030026,Debark,,Debark,Debark,UNHCR Field Unit,,,,,Debark,ETHDB,4219207.5242,1476823.7448999994
Ethiopia,ETHp030025,Gondar,,Gondar,Gondar,UNHCR Field Office,,,,,Gondar,ETHGO,4171478.927000001,1416919.877700001
Ethiopia,ETHp030024,Dessie,,Dessie,Dessie,UNHCR Field Unit,,,,,Dessie,ETHDS,4411624.9606,1246568.0168999992
Ethiopia,ETHp030022,Debre Birhan,,Debre Birhan,Debre Birhan,UNHCR Field Unit,,,,,Debre Birhan,ETHDR,4400134.9739000015,1081505.6382
Ethiopia,ETHp030021,Nekemte,,Nekemte,Nekemte,UNHCR Field Office,,,,,Nekemte,ETHNE,4069327.775199998,1016096.566300001
Ethiopia,ETHp030034,Bokh,Bokh,,,UNHCR Field Office,,,,,Bokh,ETHBB,5193094.0978999995,830488.2679000013
Ethiopia,ETHp030033,Dilla,Dilla,,,UNHCR Field Unit,,,,,Dilla,ETHDL,4264034.986099999,716078.1169999987
France,FRAp000158,Strasbourg (LO-CE),,Strasbourg (LO-CE),,UNHCR Liaison Office,Palais d'Europe,Bureau 1.018-1.020,,,Strasbourg,FRAST,867512.5691,6205694.9711000025
France,FRAp000157,Paris,,Paris,,UNHCR Country Office,"9, rue Keppler",F-75116 Paris,,,Paris,FRAPA,256812.95949999988,6254844.831200004
Gabon,GABp000159,Libreville,,Libreville,,UNHCR Liaison Office,Quartier SOTEGA,,,,Libreville,GABLI,1052303.1464999989,43637.58080000058
